completed,valid,email,mobile,social,web,age,became_member_on,gender,income,income10K,bogo_10_5_10,bogo_10_7_10,bogo_5_5_5,bogo_5_7_5,discount_10_10_2,discount_10_7_2,discount_20_10_5,discount_7_7_3,informational_0_3_0,informational_0_4_0
0,1,1,1,0,1,118,2017,0,0,0,0,0,0,0,0,1,0,0,0,0
1,1,1,1,1,0,64,2017,2,100000,100,0,1,0,0,0,0,0,0,0,0
1,1,1,0,0,1,64,2017,2,100000,100,0,0,0,0,0,0,1,0,0,0
0,1,1,1,0,1,64,2017,2,100000,100,0,0,0,0,0,0,0,0,0,1
0,1,1,1,0,1,78,2017,1,71000,71,0,0,0,0,0,0,0,0,0,1
0,1,1,1,1,0,78,2017,1,71000,71,0,0,0,0,0,0,0,0,1,0
1,1,1,1,1,1,78,2017,1,71000,71,0,0,0,0,1,0,0,0,0,0
0,1,1,1,1,1,78,2017,1,71000,71,1,0,0,0,0,0,0,0,0,0
1,1,1,0,0,1,88,2017,1,53000,53,0,0,0,0,0,0,1,0,0,0
0,1,1,1,0,1,88,2017,1,53000,53,0,0,0,0,0,1,0,0,0,0
0,1,1,1,1,0,88,2017,1,53000,53,0,0,0,0,0,0,0,0,1,0
1,1,1,1,1,1,42,2013,2,69000,69,0,0,0,0,1,0,0,0,0,0
1,1,1,1,1,1,42,2013,2,69000,69,1,0,0,0,0,0,0,0,0,0
0,1,1,1,0,1,42,2013,2,69000,69,0,0,0,0,0,0,0,0,0,1
1,1,1,0,0,1,56,2018,1,88000,88,0,0,0,0,0,0,1,0,0,0
1,1,1,1,0,1,56,2018,1,88000,88,0,0,0,0,0,1,0,0,0,0
1,1,1,1,1,1,56,2018,1,88000,88,1,0,0,0,0,0,0,0,0,0
0,1,1,1,0,1,56,2018,1,88000,88,0,0,0,1,0,0,0,0,0,0
0,1,1,1,0,1,118,2017,0,0,0,0,0,0,0,0,1,0,0,0,0
0,1,1,1,0,1,118,2017,0,0,0,0,0,0,1,0,0,0,0,0,0
0,1,1,1,1,0,118,2017,0,0,0,0,1,0,0,0,0,0,0,0,0
1,1,1,1,1,1,118,2017,0,0,0,0,0,0,0,1,0,0,0,0,0
0,1,1,0,0,1,118,2017,0,0,0,0,0,0,0,0,0,1,0,0,0
0,1,1,1,0,1,59,2015,2,41000,41,0,0,0,1,0,0,0,0,0,0
1,1,1,1,1,1,59,2015,2,41000,41,0,0,0,0,1,0,0,0,0,0
0,1,1,1,1,0,59,2015,2,41000,41,0,0,0,0,0,0,0,0,1,0
1,1,1,1,0,1,59,2015,2,41000,41,0,0,0,0,0,1,0,0,0,0
0,1,1,1,1,0,22,2017,2,70000,70,0,1,0,0,0,0,0,0,0,0
1,1,1,1,1,1,22,2017,2,70000,70,1,0,0,0,0,0,0,0,0,0
1,1,1,1,1,1,22,2017,2,70000,70,0,0,0,0,0,0,0,1,0,0
0,1,1,1,0,1,22,2017,2,70000,70,0,0,0,0,0,0,0,0,0,1
1,1,1,0,0,1,22,2017,2,70000,70,0,0,0,0,0,0,1,0,0,0
1,1,1,1,0,1,96,2017,1,89000,89,0,0,0,0,0,1,0,0,0,0
0,1,1,1,1,0,96,2017,1,89000,89,0,0,0,0,0,0,0,0,1,0
1,1,1,1,0,1,96,2017,1,89000,89,0,0,0,1,0,0,0,0,0,0
1,1,1,1,1,1,96,2017,1,89000,89,0,0,1,0,0,0,0,0,0,0
1,1,1,1,1,1,96,2017,1,89000,89,0,0,0,0,0,0,0,1,0,0
1,1,1,1,0,1,40,2016,2,33000,33,0,0,0,1,0,0,0,0,0,0
0,1,1,1,1,0,40,2016,2,33000,33,0,0,0,0,0,0,0,0,1,0
0,1,1,1,1,0,40,2016,2,33000,33,0,1,0,0,0,0,0,0,0,0
0,1,1,1,1,1,40,2016,2,33000,33,0,0,1,0,0,0,0,0,0,0
1,1,1,1,1,1,69,2016,1,57000,57,1,0,0,0,0,0,0,0,0,0
0,1,1,1,0,1,69,2016,1,57000,57,0,0,0,0,0,0,0,0,0,1
1,1,1,1,0,1,69,2016,1,57000,57,0,0,0,1,0,0,0,0,0,0
0,1,1,1,1,0,69,2016,1,57000,57,0,0,0,0,0,0,0,0,1,0
1,1,1,1,1,0,69,2016,1,57000,57,0,1,0,0,0,0,0,0,0,0
1,1,1,1,0,1,118,2016,0,0,0,0,0,0,0,0,1,0,0,0,0
0,1,1,1,1,0,118,2016,0,0,0,0,0,0,0,0,0,0,0,1,0
1,1,1,1,1,1,118,2016,0,0,0,0,0,1,0,0,0,0,0,0,0
0,1,1,1,1,0,118,2016,0,0,0,0,1,0,0,0,0,0,0,0,0
1,1,1,1,1,1,26,2017,1,63000,63,0,0,0,0,0,0,0,1,0,0
0,1,1,1,1,0,26,2017,1,63000,63,0,0,0,0,0,0,0,0,1,0
1,1,1,1,1,1,26,2017,1,63000,63,0,0,0,0,1,0,0,0,0,0
0,1,1,1,0,1,118,2018,0,0,0,0,0,0,0,0,1,0,0,0,0
0,1,1,1,1,0,118,2018,0,0,0,0,0,0,0,0,0,0,0,1,0
1,1,1,1,1,1,118,2018,0,0,0,0,0,1,0,0,0,0,0,0,0
0,1,1,1,1,1,118,2018,0,0,0,0,0,0,0,1,0,0,0,0,0
0,1,1,1,1,1,118,2018,0,0,0,1,0,0,0,0,0,0,0,0,0
0,1,1,1,1,1,118,2018,0,0,0,0,0,0,0,0,0,0,1,0,0
1,1,1,1,1,1,75,2015,2,40000,40,0,0,1,0,0,0,0,0,0,0
1,1,1,1,0,1,75,2015,2,40000,40,0,0,0,0,0,1,0,0,0,0
1,1,1,1,1,1,75,2015,2,40000,40,0,0,0,0,0,0,0,1,0,0
0,1,1,1,1,0,20,2016,1,30000,30,0,1,0,0,0,0,0,0,0,0
0,1,1,0,0,1,20,2016,1,30000,30,0,0,0,0,0,0,1,0,0,0
1,1,1,1,0,1,45,2018,2,33000,33,0,0,0,1,0,0,0,0,0,0
1,1,1,1,1,1,45,2018,2,33000,33,0,0,0,0,0,0,0,1,0,0
1,1,1,1,1,1,45,2018,2,33000,33,1,0,0,0,0,0,0,0,0,0
0,1,1,1,0,1,45,2018,2,33000,33,0,0,0,0,0,0,0,0,0,1
1,1,1,1,1,1,118,2017,0,0,0,0,0,0,0,1,0,0,0,0,0
0,1,1,0,0,1,118,2017,0,0,0,0,0,0,0,0,0,1,0,0,0
0,1,1,1,1,1,118,2017,0,0,0,0,0,1,0,0,0,0,0,0,0
0,1,1,1,0,1,54,2017,1,80000,80,0,0,0,1,0,0,0,0,0,0
0,1,1,1,1,0,54,2017,1,80000,80,0,0,0,0,0,0,0,0,1,0
1,1,1,1,1,1,54,2017,1,80000,80,1,0,0,0,0,0,0,0,0,0
0,1,1,1,0,1,54,2017,1,80000,80,0,0,0,0,0,0,0,0,0,1
1,1,1,1,1,1,54,2017,1,80000,80,0,0,1,0,0,0,0,0,0,0
1,1,1,1,1,1,54,2017,1,80000,80,0,0,0,0,1,0,0,0,0,0
0,1,1,1,1,0,39,2014,2,51000,51,0,0,0,0,0,0,0,0,1,0
1,1,1,1,1,1,39,2014,2,51000,51,0,0,1,0,0,0,0,0,0,0
0,1,1,1,1,1,39,2014,2,51000,51,1,0,0,0,0,0,0,0,0,0
0,1,1,1,0,1,39,2014,2,51000,51,0,0,0,0,0,0,0,0,0,1
0,1,1,0,0,1,39,2014,2,51000,51,0,0,0,0,0,0,1,0,0,0
0,1,1,1,0,1,79,2015,1,48000,48,0,0,0,1,0,0,0,0,0,0
1,1,1,1,0,1,79,2015,1,48000,48,0,0,0,0,0,1,0,0,0,0
1,1,1,1,1,0,79,2015,1,48000,48,0,1,0,0,0,0,0,0,0,0
0,1,1,1,1,1,66,2018,1,38000,38,1,0,0,0,0,0,0,0,0,0
0,1,1,1,1,0,66,2018,1,38000,38,0,0,0,0,0,0,0,0,1,0
0,1,1,1,1,0,66,2018,1,38000,38,0,1,0,0,0,0,0,0,0,0
1,1,1,1,0,1,66,2018,1,38000,38,0,0,0,1,0,0,0,0,0,0
1,1,1,1,1,1,48,2016,1,53000,53,0,0,0,0,1,0,0,0,0,0
1,1,1,1,0,1,48,2016,1,53000,53,0,0,0,0,0,1,0,0,0,0
0,1,1,0,0,1,48,2016,1,53000,53,0,0,0,0,0,0,1,0,0,0
1,1,1,1,1,1,48,2016,1,53000,53,1,0,0,0,0,0,0,0,0,0
1,1,1,1,1,0,37,2017,2,92000,92,0,1,0,0,0,0,0,0,0,0
0,1,1,0,0,1,37,2017,2,92000,92,0,0,0,0,0,0,1,0,0,0
1,1,1,1,0,1,37,2017,2,92000,92,0,0,0,1,0,0,0,0,0,0
1,1,1,1,0,1,42,2016,2,96000,96,0,0,0,0,0,1,0,0,0,0
1,1,1,1,1,1,42,2016,2,96000,96,0,0,0,0,0,0,0,1,0,0
1,1,1,0,0,1,42,2016,2,96000,96,0,0,0,0,0,0,1,0,0,0
1,1,1,1,1,1,42,2016,2,96000,96,1,0,0,0,0,0,0,0,0,0
0,1,1,1,0,1,118,2017,0,0,0,0,0,0,0,0,1,0,0,0,0
0,1,1,1,0,1,118,2017,0,0,0,0,0,0,0,0,0,0,0,0,1
0,1,1,1,1,1,118,2017,0,0,0,0,0,0,0,0,0,0,1,0,0
1,1,1,1,0,1,73,2017,2,38000,38,0,0,0,1,0,0,0,0,0,0
1,1,1,0,0,1,73,2017,2,38000,38,0,0,0,0,0,0,1,0,0,0
0,1,1,1,1,0,73,2017,2,38000,38,0,0,0,0,0,0,0,0,1,0
1,1,1,1,1,0,78,2016,1,93000,93,0,1,0,0,0,0,0,0,0,0
1,1,1,0,0,1,78,2016,1,93000,93,0,0,0,0,0,0,1,0,0,0
1,1,1,1,1,1,78,2016,1,93000,93,1,0,0,0,0,0,0,0,0,0
1,1,1,1,1,1,78,2016,1,93000,93,0,0,0,0,1,0,0,0,0,0
1,1,1,1,1,1,78,2016,1,93000,93,0,0,1,0,0,0,0,0,0,0
1,1,1,1,1,1,44,2017,2,35000,35,0,0,1,0,0,0,0,0,0,0
1,1,1,1,1,1,44,2017,2,35000,35,0,0,0,0,0,0,0,1,0,0
1,1,1,1,1,1,44,2017,2,35000,35,0,0,0,0,1,0,0,0,0,0
1,1,1,1,0,1,63,2018,2,56000,56,0,0,0,0,0,1,0,0,0,0
1,1,1,1,1,1,63,2018,2,56000,56,0,0,0,0,1,0,0,0,0,0
1,1,1,1,1,0,63,2018,2,56000,56,0,1,0,0,0,0,0,0,0,0
0,1,1,1,1,1,27,2017,2,44000,44,1,0,0,0,0,0,0,0,0,0
0,1,1,0,0,1,27,2017,2,44000,44,0,0,0,0,0,0,1,0,0,0
0,1,1,1,0,1,27,2017,2,44000,44,0,0,0,1,0,0,0,0,0,0
1,1,1,1,1,1,27,2017,2,44000,44,0,0,0,0,1,0,0,0,0,0
1,1,1,1,1,1,68,2017,2,87000,87,0,0,1,0,0,0,0,0,0,0
1,1,1,1,1,1,68,2017,2,87000,87,1,0,0,0,0,0,0,0,0,0
1,1,1,1,0,1,68,2017,2,87000,87,0,0,0,0,0,1,0,0,0,0
1,1,1,1,1,1,68,2017,2,87000,87,0,0,0,0,0,0,0,1,0,0
0,1,1,1,1,0,75,2015,2,52000,52,0,0,0,0,0,0,0,0,1,0
1,1,1,1,0,1,75,2015,2,52000,52,0,0,0,0,0,1,0,0,0,0
1,1,1,1,0,1,75,2015,2,52000,52,0,0,0,1,0,0,0,0,0,0
1,1,1,1,1,1,67,2017,2,76000,76,0,0,0,0,0,0,0,1,0,0
1,1,1,1,1,1,67,2017,2,76000,76,0,0,0,0,1,0,0,0,0,0
1,1,1,1,1,1,67,2017,2,76000,76,0,0,1,0,0,0,0,0,0,0
0,1,1,1,1,0,67,2017,2,76000,76,0,0,0,0,0,0,0,0,1,0
0,1,1,1,1,0,76,2014,2,64000,64,0,1,0,0,0,0,0,0,0,0
1,1,1,1,0,1,76,2014,2,64000,64,0,0,0,0,0,1,0,0,0,0
0,1,1,1,1,0,76,2014,2,64000,64,0,0,0,0,0,0,0,0,1,0
1,1,1,1,1,1,53,2016,1,72000,72,0,0,0,0,0,0,0,1,0,0
1,1,1,1,1,0,53,2016,1,72000,72,0,1,0,0,0,0,0,0,0,0
1,1,1,1,0,1,53,2016,1,72000,72,0,0,0,0,0,1,0,0,0,0
0,1,1,1,1,0,53,2016,1,72000,72,0,0,0,0,0,0,0,0,1,0
1,1,1,1,1,1,53,2016,1,72000,72,1,0,0,0,0,0,0,0,0,0
1,1,1,1,1,1,53,2016,1,117000,117,1,0,0,0,0,0,0,0,0,0
1,1,1,1,0,1,53,2016,1,117000,117,0,0,0,1,0,0,0,0,0,0
1,1,1,1,1,0,53,2016,1,117000,117,0,1,0,0,0,0,0,0,0,0
1,1,1,1,1,1,53,2016,1,117000,117,0,0,0,0,1,0,0,0,0,0
0,1,1,1,1,1,53,2017,1,55000,55,0,0,1,0,0,0,0,0,0,0
0,1,1,1,0,1,53,2017,1,55000,55,0,0,0,0,0,1,0,0,0,0
0,1,1,0,0,1,53,2017,1,55000,55,0,0,0,0,0,0,1,0,0,0
1,1,1,1,1,1,53,2017,1,55000,55,0,0,0,0,1,0,0,0,0,0
0,1,1,1,0,1,61,2017,1,112000,112,0,0,0,0,0,1,0,0,0,0
1,1,1,1,1,1,61,2017,1,112000,112,0,0,0,0,1,0,0,0,0,0
1,1,1,1,1,1,61,2017,1,112000,112,0,0,0,0,0,0,0,1,0,0
0,1,1,1,0,1,61,2017,1,112000,112,0,0,0,0,0,0,0,0,0,1
1,1,1,1,1,1,58,2018,1,85000,85,0,0,1,0,0,0,0,0,0,0
1,1,1,1,1,1,58,2018,1,85000,85,0,0,0,0,1,0,0,0,0,0
1,1,1,0,0,1,58,2018,1,85000,85,0,0,0,0,0,0,1,0,0,0
0,1,1,1,1,0,66,2018,2,71000,71,0,1,0,0,0,0,0,0,0,0
1,1,1,1,1,1,66,2018,2,71000,71,0,0,0,0,1,0,0,0,0,0
0,1,1,1,1,0,66,2018,2,71000,71,0,0,0,0,0,0,0,0,1,0
1,1,1,1,1,1,66,2018,2,71000,71,0,0,0,0,0,0,0,1,0,0
0,1,1,1,1,0,27,2018,2,35000,35,0,0,0,0,0,0,0,0,1,0
1,1,1,1,1,1,27,2018,2,35000,35,0,0,0,0,1,0,0,0,0,0
0,1,1,0,0,1,27,2018,2,35000,35,0,0,0,0,0,0,1,0,0,0
0,1,1,1,1,1,27,2018,2,35000,35,0,0,1,0,0,0,0,0,0,0
0,1,1,1,1,1,40,2018,2,53000,53,0,0,1,0,0,0,0,0,0,0
0,1,1,1,1,0,40,2018,2,53000,53,0,0,0,0,0,0,0,0,1,0
0,1,1,1,0,1,40,2018,2,53000,53,0,0,0,0,0,0,0,0,0,1
0,1,1,1,1,0,73,2018,1,91000,91,0,0,0,0,0,0,0,0,1,0
1,1,1,1,1,1,73,2018,1,91000,91,0,0,0,0,0,0,0,1,0,0
1,1,1,1,1,1,73,2018,1,91000,91,0,0,1,0,0,0,0,0,0,0
1,1,1,1,1,0,73,2018,1,91000,91,0,1,0,0,0,0,0,0,0,0
0,1,1,1,0,1,73,2018,1,91000,91,0,0,0,0,0,1,0,0,0,0
0,1,1,1,0,1,74,2015,1,107000,107,0,0,0,0,0,0,0,0,0,1
1,1,1,1,1,1,74,2015,1,107000,107,0,0,0,0,1,0,0,0,0,0
1,1,1,1,1,1,74,2015,1,107000,107,0,0,0,0,0,0,0,1,0,0
1,1,1,1,0,1,38,2017,2,66000,66,0,0,0,0,0,1,0,0,0,0
0,1,1,0,0,1,38,2017,2,66000,66,0,0,0,0,0,0,1,0,0,0
0,1,1,1,0,1,38,2017,2,66000,66,0,0,0,1,0,0,0,0,0,0
0,1,1,1,1,1,38,2017,2,66000,66,0,0,1,0,0,0,0,0,0,0
1,1,1,1,1,1,78,2015,2,58000,58,1,0,0,0,0,0,0,0,0,0
0,1,1,1,1,0,78,2015,2,58000,58,0,0,0,0,0,0,0,0,1,0
0,1,1,1,0,1,78,2015,2,58000,58,0,0,0,0,0,0,0,0,0,1
1,1,1,1,1,1,54,2016,1,53000,53,0,0,0,0,1,0,0,0,0,0
0,1,1,1,1,0,54,2016,1,53000,53,0,1,0,0,0,0,0,0,0,0
0,1,1,1,1,1,54,2016,1,53000,53,1,0,0,0,0,0,0,0,0,0
0,1,1,1,1,1,70,2018,1,74000,74,0,0,1,0,0,0,0,0,0,0
0,1,1,1,1,1,70,2018,1,74000,74,0,0,0,0,0,0,0,1,0,0
1,1,1,1,1,1,49,2017,1,57000,57,0,0,0,0,0,0,0,1,0,0
1,1,1,1,1,0,49,2017,1,57000,57,0,1,0,0,0,0,0,0,0,0
0,1,1,1,1,0,49,2017,1,57000,57,0,0,0,0,0,0,0,0,1,0
1,1,1,1,0,1,49,2017,1,57000,57,0,0,0,1,0,0,0,0,0,0
1,1,1,1,0,1,61,2017,2,98000,98,0,0,0,0,0,1,0,0,0,0
1,1,1,1,1,1,61,2017,2,98000,98,1,0,0,0,0,0,0,0,0,0
0,1,1,1,1,1,61,2017,2,98000,98,0,0,1,0,0,0,0,0,0,0
1,1,1,1,1,1,61,2017,2,98000,98,0,0,0,0,0,0,0,1,0,0
1,1,1,1,0,1,61,2017,2,98000,98,0,0,0,1,0,0,0,0,0,0
1,1,1,1,1,1,65,2017,1,119000,119,0,0,0,0,1,0,0,0,0,0
1,1,1,1,1,1,65,2017,1,119000,119,1,0,0,0,0,0,0,0,0,0
1,1,1,1,1,1,65,2017,1,119000,119,0,0,1,0,0,0,0,0,0,0
0,1,1,1,1,0,65,2017,1,119000,119,0,0,0,0,0,0,0,0,1,0
1,1,1,1,1,1,73,2018,2,51000,51,0,0,0,0,1,0,0,0,0,0
0,1,1,0,0,1,73,2018,2,51000,51,0,0,0,0,0,0,1,0,0,0
0,1,1,1,1,1,73,2018,2,51000,51,1,0,0,0,0,0,0,0,0,0
0,1,1,1,1,0,73,2018,2,51000,51,0,0,0,0,0,0,0,0,1,0
1,1,1,1,1,1,118,2016,0,0,0,0,0,0,0,1,0,0,0,0,0
0,1,1,1,1,0,118,2016,0,0,0,0,1,0,0,0,0,0,0,0,0
0,1,1,1,1,0,118,2016,0,0,0,0,0,0,0,0,0,0,0,1,0
0,1,1,1,0,1,118,2016,0,0,0,0,0,0,0,0,0,0,0,0,1
1,1,1,1,1,1,50,2017,1,93000,93,0,0,0,0,0,0,0,1,0,0
1,1,1,1,1,1,50,2017,1,93000,93,0,0,1,0,0,0,0,0,0,0
1,1,1,1,0,1,50,2017,1,93000,93,0,0,0,0,0,1,0,0,0,0
0,1,1,1,1,0,50,2017,1,93000,93,0,0,0,0,0,0,0,0,1,0
1,1,1,1,1,0,90,2015,1,98000,98,0,1,0,0,0,0,0,0,0,0
0,1,1,1,1,0,90,2015,1,98000,98,0,0,0,0,0,0,0,0,1,0
0,1,1,0,0,1,90,2015,1,98000,98,0,0,0,0,0,0,1,0,0,0
0,1,1,0,0,1,68,2016,1,84000,84,0,0,0,0,0,0,1,0,0,0
0,1,1,1,1,0,68,2016,1,84000,84,0,1,0,0,0,0,0,0,0,0
0,1,1,1,0,1,68,2016,1,84000,84,0,0,0,0,0,0,0,0,0,1
1,1,1,1,0,1,68,2016,1,84000,84,0,0,0,0,0,1,0,0,0,0
0,1,1,1,1,1,45,2017,2,54000,54,1,0,0,0,0,0,0,0,0,0
0,1,1,1,1,0,45,2017,2,54000,54,0,1,0,0,0,0,0,0,0,0
0,1,1,0,0,1,45,2017,2,54000,54,0,0,0,0,0,0,1,0,0,0
0,1,1,1,1,1,45,2017,2,54000,54,0,0,0,0,1,0,0,0,0,0
0,1,1,1,0,1,45,2017,2,54000,54,0,0,0,0,0,0,0,0,0,1
1,1,1,1,1,1,66,2016,2,49000,49,0,0,0,0,0,0,0,1,0,0
1,1,1,1,0,1,66,2016,2,49000,49,0,0,0,0,0,1,0,0,0,0
0,1,1,1,0,1,66,2016,2,49000,49,0,0,0,0,0,0,0,0,0,1
1,1,1,1,1,1,66,2016,2,49000,49,0,0,1,0,0,0,0,0,0,0
1,1,1,1,1,1,66,2016,2,49000,49,1,0,0,0,0,0,0,0,0,0
0,1,1,1,0,1,118,2017,0,0,0,0,0,0,0,0,1,0,0,0,0
0,1,1,1,0,1,118,2017,0,0,0,0,0,0,0,0,0,0,0,0,1
0,1,1,1,1,0,118,2017,0,0,0,0,0,0,0,0,0,0,0,1,0
0,1,1,1,1,1,118,2017,0,0,0,1,0,0,0,0,0,0,0,0,0
0,1,1,1,1,1,118,2017,0,0,0,0,0,0,0,0,0,0,1,0,0
0,1,1,1,1,1,118,2017,0,0,0,0,0,1,0,0,0,0,0,0,0
0,1,1,1,1,0,118,2017,0,0,0,0,1,0,0,0,0,0,0,0,0
0,1,1,1,1,1,118,2017,0,0,0,1,0,0,0,0,0,0,0,0,0
0,1,1,1,1,1,118,2017,0,0,0,0,0,0,0,0,0,0,1,0,0
0,1,1,1,1,0,118,2017,0,0,0,0,0,0,0,0,0,0,0,1,0
1,1,1,1,1,1,19,2016,1,73000,73,0,0,0,0,1,0,0,0,0,0
1,1,1,1,0,1,19,2016,1,73000,73,0,0,0,1,0,0,0,0,0,0
0,1,1,1,0,1,19,2016,1,73000,73,0,0,0,0,0,0,0,0,0,1
0,1,1,0,0,1,19,2016,1,73000,73,0,0,0,0,0,0,1,0,0,0
1,1,1,1,1,0,66,2018,1,58000,58,0,1,0,0,0,0,0,0,0,0
0,1,1,1,0,1,66,2018,1,58000,58,0,0,0,0,0,0,0,0,0,1
1,1,1,1,1,1,66,2018,1,58000,58,0,0,0,0,0,0,0,1,0,0
1,1,1,1,0,1,66,2018,1,58000,58,0,0,0,1,0,0,0,0,0,0
1,1,1,1,1,0,72,2016,1,72000,72,0,1,0,0,0,0,0,0,0,0
1,1,1,1,1,1,72,2016,1,72000,72,0,0,1,0,0,0,0,0,0,0
1,1,1,1,1,1,72,2016,1,72000,72,1,0,0,0,0,0,0,0,0,0
1,1,1,1,1,1,72,2016,1,72000,72,0,0,0,0,1,0,0,0,0,0
1,1,1,1,1,1,72,2016,1,72000,72,0,0,0,0,0,0,0,1,0,0
0,1,1,1,0,1,118,2016,0,0,0,0,0,0,0,0,0,0,0,0,1
0,1,1,1,1,0,118,2016,0,0,0,0,1,0,0,0,0,0,0,0,0
0,1,1,1,1,1,118,2016,0,0,0,1,0,0,0,0,0,0,0,0,0
0,1,1,1,0,1,118,2016,0,0,0,0,0,0,1,0,0,0,0,0,0
1,1,1,1,1,1,76,2016,2,63000,63,0,0,0,0,1,0,0,0,0,0
0,1,1,1,0,1,76,2016,2,63000,63,0,0,0,0,0,0,0,0,0,1
1,1,1,1,1,1,76,2016,2,63000,63,0,0,1,0,0,0,0,0,0,0
1,1,1,0,0,1,76,2016,2,63000,63,0,0,0,0,0,0,1,0,0,0
1,1,1,1,1,1,52,2017,2,78000,78,1,0,0,0,0,0,0,0,0,0
1,1,1,1,1,0,52,2017,2,78000,78,0,1,0,0,0,0,0,0,0,0
1,1,1,1,0,1,52,2017,2,78000,78,0,0,0,0,0,1,0,0,0,0
0,1,1,1,1,0,55,2017,2,31000,31,0,1,0,0,0,0,0,0,0,0
1,1,1,1,0,1,55,2017,2,31000,31,0,0,0,1,0,0,0,0,0,0
0,1,1,1,1,1,55,2017,2,31000,31,1,0,0,0,0,0,0,0,0,0
0,1,1,1,0,1,55,2017,2,31000,31,0,0,0,0,0,0,0,0,0,1
1,1,1,1,1,1,39,2017,1,60000,60,0,0,1,0,0,0,0,0,0,0
0,1,1,1,1,0,39,2017,1,60000,60,0,0,0,0,0,0,0,0,1,0
1,1,1,1,0,1,39,2017,1,60000,60,0,0,0,0,0,1,0,0,0,0
